DATETIME,Flow15MinLiters,BkpDisDate,NO3_corrected_mgL,TempC,Conductivity,SpConductivity,pH,ODOPerCent,ODOMGL,TurbidityFNU,TurbidityRaw,FDOMRFU,FDOM_corrected_QSU,USFS_Stage,USFS_Q,ABS254_SUNA,DOYSin,DOYCos,BkpSenseDate,TimeDiff,Ca,Mg,K,Na,TMAl,OMAl,Al_ICP,NH4,SO4,NO3,Cl,PO4,DOC,TDN,DON,SiO2,Mn,Fe,F,cationCharge,anionCharge,ionError,ionBalance,BkpGrabDate,SenseGrabTimeDiff,DisGrabTimeDiff
6/3/2013 11:55,18708.66,6/3/2013 11:45,0.022,12.09,8.85,11.73,5.71,93.82,10.07,0.27,0.01,12.71,38.03,14.6304,20.78779,0.07273,-0.321057654,0.947059651,6/3/2013 11:46,1,0.5862,0.1708,0.1213,0.9706,0.0736,0.0436,0.1139,0.0128,2.7723,0.0253,0.6674,0.0015,2.7577,0.1285,0.1109,2.6415,0.0069,0.0025,0.0693,99.52,-97.8873,0.0165,1.6327,6/3/2013 11:55,9,10
6/10/2013 10:15,7474.77,6/10/2013 10:00,0.012,10.75,8.96,12.11,5.89,95.32,10.5,0.24,0.01,10.13,30.39,10.0584,8.30404,0.05419,-0.204966114,0.97876907,6/10/2013 10:02,2,0.6751,0.1981,0.0788,0.941,0.0552,0.0341,0.1227,0.0026,2.9158,0.0253,0.4913,0.006,2.0523,0.0495,0.0588,5.5776,0.0037,0.0025,0.0325,100.7298,-95.9159,0.049,4.8139,6/10/2013 10:15,13,15
6/17/2013 9:55,6931.98,6/17/2013 9:45,0.014,10.91,9.05,12,5.93,94.44,10.32,0.26,0.01,9.68,29.04,9.7536,7.70124,0.05179,-0.085906104,0.996303238,6/17/2013 9:46,1,0.719,0.2098,0.0941,0.928,0.0516,0.0333,0.1131,0.0026,3.0419,0.0253,0.4104,0.0068,2.1712,0.105,0.0973,5.994,0.0043,0.0025,0.0325,103.0012,-97.8361,0.0514,5.1651,6/17/2013 9:55,9,10
6/24/2013 11:05,4169.34,6/24/2013 11:00,0.018,13.95,10.18,12.34,6.02,94.68,9.62,0.2,0.01,9.08,27.29,7.9248,4.63146,0.06386,0.034398061,0.999408212,6/24/2013 11:02,2,0.6495,0.1927,0.0894,0.9395,0.035,0.026,0.0852,0.0097,3.0649,0.0253,0.4492,0.0033,2.1518,0.0495,0.0803,5.7705,0.0025,0.0025,0.0325,97.0814,-101.5696,-0.0452,-4.4882,6/24/2013 11:05,3,5
7/1/2013 10:00,9248.58,7/1/2013 9:45,0.02,13.84,9.63,11.51,5.87,95.48,9.68,0.33,0.01,10.49,31.46,10.9728,10.27622,0.06394,0.154204048,0.988039023,7/1/2013 9:46,1,0.6663,0.195,0.0802,1.0459,0.0453,0.0324,0.1226,0.0026,2.8149,0.0253,0.3778,0.0015,2.4179,0.1099,0.1007,5.541,0.0044,0.0025,0.0325,103.5409,-91.1095,0.1277,12.4314,7/1/2013 10:00,14,15
7/15/2013 10:10,4572,7/15/2013 10:00,0.037,16.02,10.69,12.91,6,94.32,9.31,0.19,0,6.83,20.63,8.2296,5.07994,0.00704,0.385413359,0.922744029,7/15/2013 10:02,2,0.6777,0.1933,0.099,1.3574,0.0433,0.0312,0.1186,0.0026,2.9366,0.0253,0.384,0.0041,2.2648,0.1036,0.0923,6.1838,0.0049,0.0025,0.0325,117.4357,-96.1982,0.1988,21.2375,7/15/2013 10:10,8,10
7/22/2013 9:40,1694.79,7/22/2013 9:30,0.046,15.42,12.13,14.85,6.12,91.99,9.19,0.16,0,5.78,18.81,5.4864,1.88196,0.00929,0.493468142,0.869763872,7/22/2013 9:32,2,0.7256,0.1978,0.0875,1.1011,0.0471,0.0277,0.1032,0.0026,3.0326,0.0253,0.4244,0.0015,2.3252,0.1013,0.0914,6.632,0.0052,0.0025,0.0325,109.372,-106.7923,0.0239,2.5797,7/22/2013 9:40,8,10
7/29/2013 9:35,4572,7/29/2013 9:30,0.046,15.32,11.15,13.67,6.08,93.47,9.36,0.2,0,6.58,22.5,8.2296,5.07994,0.01282,0.594376157,0.804187158,7/29/2013 9:32,2,0.6992,0.1873,0.1022,1.0269,0.0467,0.0281,0.112,0.0026,2.8905,0.089,0.4406,0.0015,2.4851,0.0495,0.0757,6.0654,0.0054,0.0025,0.1046,103.9647,-105.0178,-0.0101,-1.053,7/29/2013 9:35,3,5
8/19/2013 11:45,1473.03,8/19/2013 11:30,0.052,14.42,12.15,15.23,6.32,94.88,9.69,0.19,0,4.82,21.18,5.1816,1.63613,-0.00512,0.84024807,0.542202159,8/19/2013 11:32,2,0.814,0.2281,0.0835,1.358,0.0363,0.0252,0.0962,0.0026,3.2452,0.1494,0.3544,0.0015,2.0885,0.1266,0.092,6.9069,0.0025,0.0025,0.0325,125.5328,-113.8633,0.0975,11.6694,8/19/2013 11:45,13,15
8/26/2013 10:40,423.09,8/26/2013 10:30,0.074,14.58,15.53,19.39,6.47,92.99,9.46,0.19,0,3.99,19.98,3.048,0.44612,-0.00296,0.899296192,0.437340096,8/26/2013 10:32,2,0.8267,0.2694,0.1538,1.612,0.034,0.0238,0.1165,0.0066,3.6405,0.2741,0.4486,0.0032,2.0603,0.1457,0.0786,8.1836,0.0057,0.0085,0.0325,142.2597,-136.081,0.0444,6.1787,8/26/2013 10:40,8,10
9/3/2013 9:50,8040.6,9/3/2013 9:45,0.102,15.62,10.88,13.26,5.8,92.92,9.25,0.45,0.02,10.96,32.26,10.3632,8.934,0.03603,0.950790372,0.309834904,9/3/2013 9:46,1,0.7713,0.2098,0.0989,1.3001,0.0507,0.0356,0.1257,0.0026,2.8318,0.3458,0.3377,0.0015,2.8156,0.1913,0.1093,6.1862,0.0062,0.0025,0.0325,121.6386,-104.9857,0.147,16.6529,9/3/2013 9:50,4,5
9/9/2013 10:45,639.72,9/9/2013 10:30,0.044,10.26,11.89,16.55,6.13,92.87,10.42,0.64,0.02,7.77,22.75,3.6576,0.7108,-0.00419,0.977653084,0.210224752,9/9/2013 10:32,2,0.8798,0.2739,0.1141,1.5837,0.0358,0.0249,0.0831,0.0026,3.4808,0.1433,0.3577,0.0042,2.0253,0.1027,0.068,8.2038,0.0033,0.0025,0.0325,142.9208,-125.2109,0.1321,17.7099,9/9/2013 10:45,13,15
9/16/2013 10:35,4169.34,9/16/2013 10:30,0.058,12.25,10.1,13.35,5.87,93.5,10.02,0.6,0.02,9.92,29.17,7.9248,4.6326,0.00429,0.995827034,0.091260722,9/16/2013 10:32,2,0.7384,0.2018,0.0747,1.0759,0.047,0.0324,0.1256,0.0026,2.9767,0.1558,0.3179,0.0015,2.3673,0.1324,0.0947,5.8812,0.001,0.0025,0.0325,108.5273,-103.0411,0.0519,5.4862,9/16/2013 10:35,3,5
9/23/2013 10:45,4169.34,9/23/2013 10:30,0.056,10.04,9.66,13.53,5.9,93.4,10.53,0.7,0.02,9.83,28.89,7.9248,4.6326,-0.00453,0.999578686,-0.029025013,9/23/2013 10:32,2,0.7346,0.203,0.1012,1.0165,0.0419,0.0299,0.1063,0.0132,2.9922,0.1375,0.3357,0.0015,2.3266,0.1219,0.0807,6.0108,0.005,0.0025,0.0325,106.3679,-104.1635,0.0209,2.2044,9/23/2013 10:45,13,15
9/30/2013 9:20,1269.18,9/30/2013 9:15,0.025,10.82,11.66,15.99,6.04,91.59,10.14,0.68,0.02,7.93,23.23,4.8768,1.4102,-0.01347,0.988853706,-0.148890387,9/30/2013 9:17,2,0.804,0.2387,0.1643,1.276,0.0323,0.0238,0.0779,0.0086,3.4763,0.0253,0.3514,0.0015,2.0624,0.0495,0.0505,7.3359,0.0024,0.0025,0.0325,124.0304,-124.4582,-0.0034,-0.4278,9/30/2013 9:20,3,5
10/7/2013 8:25,3086.28,10/7/2013 8:15,0.024,10.79,12.15,16.68,6,91.9,10.19,0.71,0.02,9.68,28.45,7.0104,3.4292,0.01106,0.963807423,-0.266599421,10/7/2013 8:17,2,0.7949,0.2495,0.8038,1.5249,0.0379,0.0305,0.1083,0.0026,3.4402,0.0253,0.4686,0.0015,2.9712,0.1004,0.0909,6.8838,0.0133,0.0066,0.0325,152.0136,-131.7541,0.1428,20.2594,10/7/2013 8:25,8,10
11/25/2013 10:35,6931.98,11/25/2013 10:30,0.286,0.49,12.16,22.24,5.72,94.88,13.71,1.01,0,4.69,14.23,9.7536,7.7022,0.01381,0.442168152,-0.896932174,11/25/2013 10:32,2,0.7389,0.2474,0.1063,1.0192,0.0387,0.0285,0.0928,0.0084,3.0974,0.9188,0.4518,0.0015,2.022,0.2975,0.0834,6.0693,0.0044,0.0025,0.0325,110.5359,-111.8064,-0.0114,-1.2705,11/25/2013 10:35,3,5
12/2/2013 12:15,9248.58,12/2/2013 12:00,0.387,2.21,14.27,23.23,5.59,94.7,13.11,1.1,0,4.77,16.47,10.9728,10.2762,0.01987,0.331221228,-0.943553124,12/2/2013 12:02,2,0.7237,0.2327,0.1109,0.9156,0.0609,0.0351,0.0952,0.0026,2.692,1.3791,0.3865,0.0015,1.9563,0.4508,0.1376,5.3928,0.0069,0.0025,0.0325,106.975,-105.821,0.0108,1.1539,12/2/2013 12:15,13,15
