UNH ID #,Sample Name,DateTime,NPOC (mg C/L),TDN (mg N/L),Cl (mg Cl/L),NO3 (mg N/L),SO4 (mg S/L),Abs254,SUVA,Na (mg Na/L),K (mg K/L),Mg (mg Mg/L),Ca (mg Ca/L),Closed Cell pH,TSS (mg/L),NH4 (ug N/L),DON mg/L,PO4 (ug P/L),CO2ppm,Chla_Conc
105419,LMP72,1/31/2012 12:00,4.38,0.31,17.03,0.13,1.59,0.17,3.97,10.92,0.88,0.97,4.33,,,28.30,0.16,13.66,,
105617,LMP72,2/14/2012 11:19,3.64,0.35,19.27,0.18,2.05,,,13.26,0.87,1.20,5.95,,,11.73,0.15,9.83,,
105961,LMP72,2/21/2012 11:08,3.42,0.36,21.12,0.19,2.19,,,14.40,0.93,1.35,6.45,,,20.58,0.15,4.66,,
106175,LMP72,2/28/2012 10:43,3.96,0.36,18.06,0.18,1.92,,,12.53,0.78,1.41,5.92,,,11.61,0.17,2.00,,
106456,LMP72,3/6/2012 10:11,3.76,0.32,19.87,0.13,1.89,,,13.74,0.92,1.12,5.22,,,34.13,0.16,14.19,,
107059,LMP72,3/20/2012 10:33,3.75,0.35,19.63,0.12,1.88,,,15.03,1.05,1.11,5.48,,,25.58,0.21,23.42,,
107275,LMP72,3/27/2012 9:34,3.61,0.40,23.62,0.17,1.98,,,18.16,1.23,1.48,7.62,,,34.92,0.19,34.77,,
107574,LMP72,4/3/2012 9:45,3.93,0.35,22.61,0.15,2.03,,,15.39,1.07,1.40,7.02,,,30.09,0.17,7.04,,
107963,LMP72,4/17/2012 11:47,3.22,0.42,34.52,0.19,2.29,,,24.14,1.60,2.01,10.18,,,25.78,0.21,32.10,,
108153,LMP72,4/24/2012 11:41,8.02,0.47,20.76,0.12,1.77,,,15.18,1.31,1.23,6.41,,,20.51,0.32,9.58,,
108585,LMP72,5/1/2012 10:30,6.34,0.34,21.38,0.09,1.69,,,15.25,0.96,1.20,5.81,,,28.80,0.22,2.00,,
108780,LMP72,5/8/2012 11:09,5.27,0.29,20.16,0.08,1.54,,,13.89,0.70,0.93,5.52,,,2.50,0.21,6.52,,
109236,LMP72,5/15/2012 11:15,5.97,0.31,19.69,0.04,1.48,,,14.05,0.73,1.15,5.81,,,29.15,0.24,11.92,,
109617,LMP72,5/22/2012 10:19,5.91,0.38,17.95,0.06,1.41,,,12.98,0.79,1.15,5.77,,,40.53,0.28,16.99,,
109865,LMP72,5/29/2012 10:33,6.44,0.41,22.15,0.11,1.43,,,16.47,1.03,1.34,6.66,,,40.19,0.26,8.56,,
109914,LMP72,6/5/2012 9:44,8.34,0.44,16.11,0.09,1.20,,,12.37,0.83,1.12,4.98,,,23.81,0.33,24.19,,
110001,LMP72,6/12/2012 11:03,6.63,0.35,17.52,0.06,1.26,,,12.60,0.67,1.10,5.48,,,21.44,0.27,5.77,,
110013,SBM0.2,5/25/2012 16:05,,,,,,0.03,,,,,,,,,,,,
110014,SBM0.2,5/30/2012 15:40,,,,,,0.03,,,,,,,,,,,,
110130,LMP72,6/19/2012 9:41,6.27,0.37,17.77,0.06,1.19,,,12.73,0.67,1.18,5.90,,,19.25,0.29,2.00,,
110443,LMP72,6/26/2012 9:22,6.59,0.48,21.64,0.13,1.27,,,16.15,1.08,1.46,6.85,,,35.49,0.31,15.09,3292.91,
110787,LMP72,7/3/2012 9:24,7.50,0.86,21.45,0.13,1.31,,,15.52,1.36,1.39,6.56,,,38.12,0.69,12.55,1927.08,
110858,LMP72,7/10/2012 10:58,6.45,0.54,24.44,0.18,1.39,0.25,3.90,16.48,0.89,1.34,7.90,,,32.83,0.33,5.10,1360.63,
111080,LMP72,7/17/2012 11:10,4.97,0.43,34.46,0.13,1.46,,,23.25,1.24,2.12,7.66,,,2.50,0.30,4.08,4524.68,
